Year,Physics,Chemistry,Physiology_or_Medicine,Literature,Peace,Economics,Total
1901,1,1,1,1,2,0,6
1902,2,1,1,1,2,0,7
1903,3,1,1,1,1,0,7
1904,1,1,1,2,1,0,6
1905,1,1,1,1,1,0,5
1906,1,1,2,1,1,0,6
1907,1,1,1,1,2,0,6
1908,1,1,2,1,2,0,7
1909,2,1,1,1,2,0,7
1910,1,1,1,1,1,0,5
1911,1,1,1,1,2,0,6
1912,1,2,1,1,1,0,6
1913,1,1,1,1,1,0,5
1914,1,1,1,0,0,0,3
1915,2,1,0,1,0,0,4
1916,0,0,0,1,0,0,1
1917,1,0,0,2,1,0,4
1918,1,1,0,0,0,0,2
1919,1,0,1,1,1,0,4
1920,1,1,1,1,1,0,5
1921,1,1,0,1,2,0,5
1922,1,1,2,1,1,0,6
1923,1,1,2,1,0,0,5
1924,1,0,1,1,0,0,3
1925,2,1,0,1,2,0,6
1926,1,1,1,1,2,0,6
1927,2,1,1,1,2,0,7
1928,1,1,1,1,0,0,4
1929,1,2,2,1,1,0,7
1930,1,1,1,1,1,0,5
1931,0,2,1,1,2,0,6
1932,1,1,2,1,0,0,5
1933,2,0,1,1,1,0,5
1934,0,1,3,1,1,0,6
1935,1,2,1,0,1,0,5
1936,2,1,2,1,1,0,7
1937,2,2,1,1,1,0,7
1938,1,1,1,1,1,0,5
1939,1,2,1,1,0,0,5
1940,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0
1943,1,1,2,0,0,0,4
1944,1,1,2,1,1,0,6
1945,1,1,3,1,1,0,7
1946,1,3,1,1,2,0,8
1947,1,1,3,1,2,0,8
1948,1,1,1,1,0,0,4
1949,1,1,2,1,1,0,6
1950,1,2,3,1,1,0,8
1951,2,2,1,1,1,0,7
1952,2,2,1,1,1,0,7
1953,1,1,2,1,1,0,6
1954,2,1,3,1,1,0,8
1955,2,1,1,1,0,0,5
1956,3,2,3,1,0,0,9
1957,2,1,1,1,1,0,6
1958,3,1,3,1,1,0,9
1959,2,1,2,1,1,0,7
1960,1,1,2,1,1,0,6
1961,2,1,1,1,1,0,6
1962,1,2,3,1,1,0,8
1963,3,2,3,1,2,0,11
1964,3,1,2,1,1,0,8
1965,3,1,3,1,1,0,9
1966,1,1,2,2,0,0,6
1967,1,3,3,1,0,0,8
1968,1,1,3,1,1,0,7
1969,1,2,3,1,1,2,10
1970,2,1,3,1,1,1,9
1971,1,1,1,1,1,1,6
1972,3,3,2,1,0,2,11
1973,3,2,3,1,2,1,12
1974,2,1,3,2,2,2,12
1975,3,2,3,1,1,2,12
1976,2,1,2,1,2,1,9
1977,3,1,3,1,1,2,11
1978,3,1,3,1,2,1,11
1979,3,2,2,1,1,2,11
1980,2,3,3,1,1,1,11
1981,3,2,3,1,1,1,11
1982,1,1,3,1,2,1,9
1983,2,1,1,1,1,1,7
1984,2,1,3,1,1,1,9
1985,1,2,2,1,1,1,8
1986,3,3,2,1,1,1,11
1987,2,3,1,1,1,1,9
1988,3,3,3,1,1,1,12
1989,3,2,2,1,1,1,10
1990,3,1,2,1,1,3,11
1991,1,1,2,1,1,1,7
1992,1,1,2,1,1,1,7
1993,2,2,2,1,2,2,11
1994,2,1,2,1,3,3,12
1995,2,3,3,1,2,1,12
1996,3,3,2,1,2,2,13
1997,3,3,1,1,2,2,12
1998,3,2,3,1,2,1,12
1999,2,1,1,1,1,1,7
2000,3,3,3,1,1,2,13
2001,3,3,3,1,2,3,15
2002,3,3,3,1,1,2,13
2003,3,2,2,1,1,2,11
2004,3,3,2,1,1,2,12
2005,3,3,2,1,2,2,13
2006,2,1,2,1,2,1,9
2007,2,1,3,1,2,3,12
2008,3,3,3,1,1,1,12
2009,3,3,3,1,1,2,13
2010,2,3,1,1,1,3,11
2011,3,1,3,1,3,2,13
2012,2,2,2,1,1,2,10
2013,2,3,3,1,1,3,13
2014,3,3,3,1,2,1,13
2015,2,3,3,1,1,1,11
2016,3,3,1,1,1,2,11